person_id,survey_resp
1063,Unfavorable
527,Unfavorable
1012,Favorable
1042,Unfavorable
611,Favorable
1152,Favorable
1315,Favorable
1272,Favorable
716,Unfavorable
910,Favorable
907,Favorable
695,Unfavorable
651,Unfavorable
757,Favorable
1385,Favorable
57,Unfavorable
864,Favorable
1266,Favorable
31,Favorable
1015,Favorable
719,Unfavorable
640,Favorable
621,Unfavorable
1178,Favorable
957,Unfavorable
1151,Unfavorable
400,Favorable
127,Unfavorable
863,Unfavorable
569,Favorable
670,Unfavorable
1173,Unfavorable
567,Favorable
12,Favorable
1113,Favorable
1177,Unfavorable
1294,Favorable
441,Unfavorable
849,Unfavorable
502,Favorable
522,Favorable
1319,Favorable
272,Unfavorable
510,Favorable
668,Unfavorable
472,Favorable
543,Unfavorable
1353,Unfavorable
703,Favorable
686,Favorable
342,Favorable
36,Unfavorable
1346,Unfavorable
493,Unfavorable
1090,Favorable
689,Favorable
103,Unfavorable
1445,Favorable
1227,Favorable
139,Unfavorable
440,Unfavorable
504,Favorable
1441,Favorable
1437,Unfavorable
203,Favorable
237,Unfavorable
154,Unfavorable
385,Favorable
558,Favorable
587,Favorable
243,Favorable
38,Favorable
1060,Favorable
388,Favorable
1079,Favorable
1280,Favorable
866,Favorable
1462,Favorable
455,Favorable
617,Favorable
499,Favorable
1187,Favorable
155,Unfavorable
1355,Favorable
298,Favorable
1381,Favorable
210,Favorable
24,Unfavorable
513,Unfavorable
1169,Favorable
